N,Type,Algorithm,AvgTime
3,RandomDivisible,Backtracking,8.6309e-06
3,RandomDivisible,BitmaskDP,1.46e-06
3,RandomDivisible,DimenDP,5.697e-07
3,NearMiss,Backtracking,7.6779e-06
3,NearMiss,BitmaskDP,1.6431e-06
3,NearMiss,DimenDP,4.666e-07
3,Yes,Backtracking,2.26482e-05
3,Yes,BitmaskDP,2.3617e-06
3,Yes,DimenDP,-0.209234
4,RandomDivisible,Backtracking,7.5854e-06
4,RandomDivisible,BitmaskDP,1.6997e-06
4,RandomDivisible,DimenDP,0.0288179
4,NearMiss,Backtracking,1.20237e-05
4,NearMiss,BitmaskDP,2.0699e-06
4,NearMiss,DimenDP,0.0050882
4,Yes,Backtracking,2.37032e-05
4,Yes,BitmaskDP,3.0171e-06
4,Yes,DimenDP,0.0840701
5,RandomDivisible,Backtracking,9.8473e-06
5,RandomDivisible,BitmaskDP,2.122e-06
5,RandomDivisible,DimenDP,0.0544645
5,NearMiss,Backtracking,1.44603e-05
5,NearMiss,BitmaskDP,2.4423e-06
5,NearMiss,DimenDP,0.0951283
5,Yes,Backtracking,2.91169e-05
5,Yes,BitmaskDP,3.2136e-06
5,Yes,DimenDP,0.116939
6,RandomDivisible,Backtracking,9.4143e-06
6,RandomDivisible,BitmaskDP,1.04074e-05
6,RandomDivisible,DimenDP,0.14646
6,NearMiss,Backtracking,1.26238e-05
6,NearMiss,BitmaskDP,9.3472e-06
6,NearMiss,DimenDP,0.299697
6,Yes,Backtracking,2.46017e-05
6,Yes,BitmaskDP,3.5143e-06
6,Yes,DimenDP,0.159051
7,RandomDivisible,Backtracking,8.8e-06
7,RandomDivisible,BitmaskDP,1.21778e-05
7,RandomDivisible,DimenDP,0.197776
7,NearMiss,Backtracking,1.38546e-05
7,NearMiss,BitmaskDP,1.07051e-05
7,NearMiss,DimenDP,0.35387
7,Yes,Backtracking,4.30355e-05
7,Yes,BitmaskDP,4.2145e-06
7,Yes,DimenDP,0.152412
8,RandomDivisible,Backtracking,1.00874e-05
8,RandomDivisible,BitmaskDP,1.63715e-05
8,RandomDivisible,DimenDP,0.304128
8,NearMiss,Backtracking,1.6477e-05
8,NearMiss,BitmaskDP,1.20095e-05
8,NearMiss,DimenDP,0.311967
8,Yes,Backtracking,2.5125e-05
8,Yes,BitmaskDP,5.0891e-06
8,Yes,DimenDP,0.112798
9,RandomDivisible,Backtracking,1.0555e-05
9,RandomDivisible,BitmaskDP,2.39072e-05
9,RandomDivisible,DimenDP,0.267547
9,NearMiss,Backtracking,1.84748e-05
9,NearMiss,BitmaskDP,1.91499e-05
9,NearMiss,DimenDP,0.709239
9,Yes,Backtracking,2.82432e-05
9,Yes,BitmaskDP,7.1168e-06
9,Yes,DimenDP,0.683247
10,RandomDivisible,Backtracking,1.18954e-05
10,RandomDivisible,BitmaskDP,4.24646e-05
10,RandomDivisible,DimenDP,0.51186
10,NearMiss,Backtracking,1.9493e-05
10,NearMiss,BitmaskDP,3.00742e-05
10,NearMiss,DimenDP,1.10812
10,Yes,Backtracking,2.60627e-05
10,Yes,BitmaskDP,1.84597e-05
10,Yes,DimenDP,0.659593
11,RandomDivisible,Backtracking,1.25143e-05
11,RandomDivisible,BitmaskDP,6.75484e-05
11,RandomDivisible,DimenDP,0.493707
11,NearMiss,Backtracking,1.52773e-05
11,NearMiss,BitmaskDP,7.13915e-05
11,NearMiss,DimenDP,1.4961
11,Yes,Backtracking,2.68732e-05
11,Yes,BitmaskDP,3.08633e-05
11,Yes,DimenDP,0.275724
12,RandomDivisible,Backtracking,2.39689e-05
12,RandomDivisible,BitmaskDP,0.000151613
12,RandomDivisible,DimenDP,0.857101
12,NearMiss,Backtracking,1.80905e-05
12,NearMiss,BitmaskDP,0.000124772
12,NearMiss,DimenDP,0.653774
12,Yes,Backtracking,3.21449e-05
12,Yes,BitmaskDP,4.11253e-05
12,Yes,DimenDP,1.4093
13,RandomDivisible,Backtracking,3.37276e-05
13,RandomDivisible,BitmaskDP,0.000304476
13,RandomDivisible,DimenDP,0.866768
13,NearMiss,Backtracking,3.23185e-05
13,NearMiss,BitmaskDP,0.000216512
13,NearMiss,DimenDP,1.30524
13,Yes,Backtracking,3.43156e-05
13,Yes,BitmaskDP,9.67562e-05
13,Yes,DimenDP,1.4057
14,RandomDivisible,Backtracking,5.09262e-05
14,RandomDivisible,BitmaskDP,0.000626856
14,RandomDivisible,DimenDP,0.943363
14,NearMiss,Backtracking,3.1447e-05
14,NearMiss,BitmaskDP,0.00046669
14,NearMiss,DimenDP,2.5869
14,Yes,Backtracking,4.56306e-05
14,Yes,BitmaskDP,0.000286617
14,Yes,DimenDP,1.31767
15,RandomDivisible,Backtracking,6.99568e-05
15,RandomDivisible,BitmaskDP,0.00113157
15,RandomDivisible,DimenDP,1.31647
15,NearMiss,Backtracking,7.1856e-05
15,NearMiss,BitmaskDP,0.000696551
15,NearMiss,DimenDP,1.94994
15,Yes,Backtracking,6.38004e-05
15,Yes,BitmaskDP,0.000482063
15,Yes,DimenDP,1.91123
16,RandomDivisible,Backtracking,0.000202152
16,RandomDivisible,BitmaskDP,0.00160898
16,RandomDivisible,DimenDP,1.66485
16,NearMiss,Backtracking,0.000159342
16,NearMiss,BitmaskDP,0.00138975
16,NearMiss,DimenDP,1.79785
16,Yes,Backtracking,9.93276e-05
16,Yes,BitmaskDP,0.00100687
16,Yes,DimenDP,2.47554
17,RandomDivisible,Backtracking,0.000481043
17,RandomDivisible,BitmaskDP,0.00342236
17,RandomDivisible,DimenDP,1.63313
17,NearMiss,Backtracking,0.000159586
17,NearMiss,BitmaskDP,0.00354208
17,NearMiss,DimenDP,3.63051
17,Yes,Backtracking,7.26267e-05
17,Yes,BitmaskDP,0.00120322
17,Yes,DimenDP,2.55375
18,RandomDivisible,Backtracking,0.000309757
18,RandomDivisible,BitmaskDP,0.00228327
18,RandomDivisible,DimenDP,2.15806
18,NearMiss,Backtracking,0.000151247
18,NearMiss,BitmaskDP,0.0024292
18,NearMiss,DimenDP,3.29097
18,Yes,Backtracking,0.000284185
18,Yes,BitmaskDP,0.00209001
18,Yes,DimenDP,1.7683
19,RandomDivisible,Backtracking,0.00084842
19,RandomDivisible,BitmaskDP,0.00619201
19,RandomDivisible,DimenDP,2.26953
19,NearMiss,Backtracking,0.00032771
19,NearMiss,BitmaskDP,0.00825742
19,NearMiss,DimenDP,4.37548
19,Yes,Backtracking,0.000484792
19,Yes,BitmaskDP,0.00466983
19,Yes,DimenDP,3.53462
20,RandomDivisible,Backtracking,0.000665311
20,RandomDivisible,BitmaskDP,0.00876508
20,RandomDivisible,DimenDP,3.41878
20,NearMiss,Backtracking,0.000172814
20,NearMiss,BitmaskDP,0.0102774
20,NearMiss,DimenDP,3.23747
20,Yes,Backtracking,0.000329205
20,Yes,BitmaskDP,0.00843195
20,Yes,DimenDP,3.19588
21,RandomDivisible,Backtracking,0.000713754
21,RandomDivisible,BitmaskDP,0.0144593
21,RandomDivisible,DimenDP,3.16106
21,NearMiss,Backtracking,0.000801809
21,NearMiss,BitmaskDP,0.0149772
21,NearMiss,DimenDP,5.64229
21,Yes,Backtracking,0.00319815
21,Yes,BitmaskDP,0.0174753
21,Yes,DimenDP,6.23559
22,RandomDivisible,Backtracking,0.00109617
22,RandomDivisible,BitmaskDP,0.0281051
22,RandomDivisible,DimenDP,3.32043
22,NearMiss,Backtracking,0.000613173
22,NearMiss,BitmaskDP,0.0301245
22,NearMiss,DimenDP,6.58729
22,Yes,Backtracking,0.000565702
22,Yes,BitmaskDP,0.029049
22,Yes,DimenDP,6.67248
23,RandomDivisible,Backtracking,0.00113848
23,RandomDivisible,BitmaskDP,0.0571481
23,RandomDivisible,DimenDP,3.80114
23,NearMiss,Backtracking,0.000467814
23,NearMiss,BitmaskDP,0.0588256
23,NearMiss,DimenDP,9.44125
23,Yes,Backtracking,0.00022656
23,Yes,BitmaskDP,0.0590322
23,Yes,DimenDP,6.71501
24,RandomDivisible,Backtracking,0.00289226
24,RandomDivisible,BitmaskDP,0.108001
24,RandomDivisible,DimenDP,5.10025
24,NearMiss,Backtracking,0.00226061
24,NearMiss,BitmaskDP,0.110746
24,NearMiss,DimenDP,12.1621
24,Yes,Backtracking,0.00132809
24,Yes,BitmaskDP,0.115619
24,Yes,DimenDP,10.5348
